iter	Logloss
0	0.6543686793
1	0.6157615977
2	0.5797180344
3	0.555843246
4	0.5374766213
5	0.5263893146
6	0.5100945529
7	0.4977756108
8	0.4873206782
9	0.4800248054
10	0.4735209275
11	0.4650828204
12	0.4587256347
13	0.4526372931
14	0.4449622499
15	0.4403167184
16	0.4345764118
17	0.429621223
18	0.4258961124
19	0.4223130532
20	0.4191837329
21	0.4159880845
22	0.4118310634
23	0.4078266539
24	0.4051905831
25	0.4024441765
26	0.397987178
27	0.395786777
28	0.3933673054
29	0.3902487497
30	0.3872784617
31	0.3856319971
32	0.3833608865
33	0.3820132919
34	0.3810408711
35	0.3789458138
36	0.377878285
37	0.374369665
38	0.3721392109
39	0.3700447697
40	0.3682598366
41	0.3669516663
42	0.365967923
43	0.3627690074
44	0.3614618002
45	0.3597659887
46	0.3578489198
47	0.3564018131
48	0.355045076
49	0.3543966297
50	0.3533950425
51	0.3513456304
52	0.3489124055
53	0.3486788938
54	0.3474350772
55	0.3446970043
56	0.3434173108
57	0.3429313045
58	0.3406833174
59	0.3395343142
60	0.3381384957
61	0.3367497249
62	0.3345463421
63	0.332839855
64	0.3317250526
65	0.3297846078
66	0.3261966995
67	0.3241039357
68	0.3213898471
69	0.3196761212
70	0.3175080922
71	0.3165548173
72	0.3145578122
73	0.3130268384
74	0.309394668
75	0.3081480065
76	0.3065138472
77	0.3049459851
78	0.3030746425
79	0.301103356
80	0.299815779
81	0.2982586649
82	0.2958361254
83	0.2943609988
84	0.2924560341
85	0.2908412497
86	0.2893987981
87	0.2874625802
88	0.2851100441
89	0.2817167981
90	0.2799711064
91	0.2797323054
92	0.2772929773
93	0.2753027348
94	0.274185379
95	0.2725424944
96	0.2709788025
97	0.2699566387
98	0.2669410798
99	0.2657808154
100	0.2649061822
101	0.2623465139
102	0.2600955581
103	0.2592917811
104	0.2590548479
105	0.2577728798
106	0.2561993535
107	0.2546540858
108	0.2521952645
109	0.2508829818
110	0.2499071777
111	0.249608717
112	0.2478841098
113	0.2460110007
114	0.2437657855
115	0.2420575966
116	0.2409706902
117	0.2396465092
118	0.2392341756
119	0.2390344648
120	0.2374362054
121	0.2372554792
122	0.2353986573
123	0.2336637916
124	0.2328333119
125	0.2319087875
126	0.2293492736
127	0.2285381248
128	0.2266154576
129	0.2247693907
130	0.2228552817
131	0.2211754399
132	0.2209056053
133	0.2199947253
134	0.2181945038
135	0.2164720534
136	0.2146433799
137	0.2130663499
138	0.2121936382
139	0.2111346861
140	0.210278909
141	0.2086316113
142	0.2074823849
143	0.206526085
144	0.2045859318
145	0.2031747313
146	0.2028782124
147	0.2013011172
148	0.1993090049
149	0.1983314973
150	0.1974732748
151	0.1963272944
152	0.1956153719
153	0.194650108
154	0.1944985926
155	0.1935720665
156	0.1923353028
157	0.1910956984
158	0.1904521818
159	0.1899965793
160	0.1896002633
161	0.1886339519
162	0.1885250696
163	0.1871470087
164	0.1857519404
165	0.185287544
166	0.1841799768
167	0.1836192327
168	0.1822963669
169	0.1816336768
170	0.1804270709
171	0.1800655025
172	0.1792049308
173	0.1788421615
174	0.1781747089
175	0.1763569477
176	0.1756716081
177	0.1750775422
178	0.1742593638
179	0.1739637732
180	0.1727772089
181	0.1722919691
182	0.172174747
183	0.1718282806
184	0.1715026964
185	0.171248816
186	0.170607585
187	0.1692530984
188	0.168352976
189	0.1673747288
190	0.1672291894
191	0.1660072168
192	0.1659120384
193	0.1645400627
194	0.1639135049
195	0.1634546647
196	0.162144894
197	0.1605338515
198	0.1598899769
199	0.1593716689
