iter	Passed	Remaining
0	16	3220
1	33	3364
2	52	3466
3	68	3344
4	83	3267
5	89	2900
6	95	2644
7	111	2667
8	126	2682
9	130	2486
10	147	2535
11	164	2572
12	171	2468
13	189	2517
14	197	2441
15	215	2475
16	218	2356
17	234	2369
18	249	2378
19	265	2386
20	280	2393
21	297	2407
22	312	2408
23	319	2340
24	336	2355
25	352	2361
26	369	2364
27	384	2364
28	402	2371
29	419	2375
30	434	2370
31	450	2363
32	466	2362
33	483	2360
34	492	2322
35	508	2317
36	523	2306
37	541	2307
38	556	2295
39	572	2289
40	586	2273
41	601	2264
42	615	2246
43	631	2238
44	637	2195
45	653	2187
46	668	2176
47	684	2168
48	699	2156
49	715	2146
50	720	2103
51	736	2096
52	741	2056
53	757	2046
54	772	2037
55	787	2025
56	805	2021
57	821	2010
58	838	2003
59	854	1993
60	871	1986
61	887	1974
62	904	1966
63	920	1956
64	937	1946
65	953	1936
66	969	1924
67	987	1916
68	1003	1904
69	1020	1894
70	1025	1862
71	1042	1852
72	1058	1841
73	1063	1810
74	1072	1787
75	1089	1776
76	1106	1767
77	1122	1756
78	1138	1744
79	1154	1731
80	1170	1719
81	1186	1707
82	1203	1695
83	1219	1683
84	1234	1670
85	1250	1658
86	1267	1646
87	1283	1634
88	1287	1605
89	1304	1594
90	1320	1581
91	1338	1571
92	1355	1559
93	1372	1548
94	1388	1534
95	1406	1523
96	1422	1510
97	1438	1497
98	1454	1484
99	1469	1469
100	1485	1456
101	1502	1443
102	1518	1430
103	1535	1417
104	1552	1405
105	1568	1391
106	1584	1377
107	1601	1364
108	1618	1351
109	1634	1337
110	1651	1324
111	1667	1310
112	1684	1296
113	1701	1283
114	1717	1269
115	1734	1255
116	1750	1242
117	1768	1228
118	1784	1214
119	1801	1200
120	1818	1186
121	1834	1172
122	1851	1159
123	1867	1144
124	1884	1130
125	1901	1116
126	1918	1102
127	1934	1088
128	1939	1067
129	1956	1053
130	1973	1039
131	1990	1025
132	2006	1010
133	2021	995
134	2041	982
135	2057	968
136	2074	953
137	2092	939
138	2110	925
139	2126	911
140	2142	896
141	2159	882
142	2177	867
143	2193	853
144	2211	838
145	2234	826
146	2255	813
147	2279	800
148	2295	785
149	2318	772
150	2335	757
151	2352	742
152	2368	727
153	2372	708
154	2389	693
155	2395	675
156	2411	660
157	2427	645
158	2444	630
159	2461	615
160	2477	600
161	2496	585
162	2514	570
163	2529	555
164	2547	540
165	2563	525
166	2580	509
167	2597	494
168	2614	479
169	2630	464
170	2647	448
171	2663	433
172	2673	417
173	2688	401
174	2705	386
175	2722	371
176	2738	355
177	2755	340
178	2771	325
179	2787	309
180	2804	294
181	2821	279
182	2838	263
183	2853	248
184	2870	232
185	2886	217
186	2903	201
187	2920	186
188	2938	170
189	2942	154
190	2958	139
191	2974	123
192	2991	108
193	3006	92
194	3023	77
195	3039	62
196	3055	46
197	3064	30
198	3082	15
199	3099	0
