iter	MultiClass
0	1.825192229
1	1.727663291
2	1.640638036
3	1.57405514
4	1.519093198
5	1.469093666
6	1.426904297
7	1.388487993
8	1.355134204
9	1.325237527
10	1.300089698
11	1.276867492
12	1.256331882
13	1.23780231
14	1.218421573
15	1.202926883
16	1.186933409
17	1.174930332
18	1.162809713
19	1.15169278
20	1.141803208
21	1.132737041
22	1.124016617
23	1.116801772
24	1.108534288
25	1.102581463
26	1.09697508
27	1.090810962
28	1.08358755
29	1.077647955
30	1.072372955
31	1.068003643
32	1.064227971
33	1.059140252
34	1.054469824
35	1.050567635
36	1.047589715
37	1.043936544
38	1.040350081
39	1.036983101
40	1.034308128
41	1.031472079
42	1.029273329
43	1.026470832
44	1.023192267
45	1.020686432
46	1.017920093
47	1.015920157
48	1.014214505
49	1.012130842
50	1.010682734
51	1.007716076
52	1.005675312
53	1.003675638
54	1.002208458
55	1.000571103
56	0.9992839037
57	0.9958742138
58	0.9940021514
59	0.9916534722
60	0.9896459063
61	0.9879100248
62	0.9857766866
63	0.9836805719
64	0.9827305046
65	0.9812540535
66	0.9791743911
67	0.978358165
68	0.9759630577
69	0.974616838
70	0.9737931015
71	0.972281808
72	0.9709076722
73	0.96874104
74	0.9668457492
75	0.9644939018
76	0.9632880574
77	0.9619039088
78	0.9604248586
79	0.9590446631
80	0.9578041567
81	0.9567772459
82	0.955316132
83	0.9542149815
84	0.9532471583
85	0.9523156773
86	0.9506093215
87	0.9495755712
88	0.9482901751
89	0.9462892
90	0.9454952737
91	0.9434037065
92	0.942181841
93	0.9414318528
94	0.9400338212
95	0.939093403
96	0.9369671962
97	0.9361986283
98	0.9349054606
99	0.9335860566
100	0.9319489388
101	0.9311082524
102	0.9298178957
103	0.9291987597
104	0.9271742821
105	0.9259688151
106	0.9245760882
107	0.9234731844
108	0.9211449989
109	0.9200216868
110	0.9184645668
111	0.9175831632
112	0.9158551982
113	0.9138914982
114	0.9129243553
115	0.9109100717
116	0.9092367791
117	0.9079752741
118	0.9064117799
119	0.9049856799
120	0.9035272308
121	0.9022358855
122	0.9002069578
123	0.8994084019
124	0.8984887487
125	0.8975179653
126	0.8970607012
127	0.8953827357
128	0.8935950317
129	0.8922457821
130	0.8910042146
131	0.8900277745
132	0.888556731
133	0.8869715631
134	0.8860299663
135	0.885055912
136	0.8841798035
137	0.8830083141
138	0.8817246429
139	0.8809795072
140	0.8793536788
141	0.8776460454
142	0.876610483
143	0.8759204106
144	0.8750414815
145	0.874340049
146	0.8735571438
147	0.8727353049
148	0.8713405812
149	0.8704372843
150	0.8686166089
151	0.8676468129
152	0.8658630543
153	0.8648712725
154	0.8632230579
155	0.8622918963
156	0.8617998041
157	0.8605503032
158	0.8588442487
159	0.8577438355
160	0.8559359451
161	0.8549500067
162	0.8538506974
163	0.8533622183
164	0.8527936679
165	0.8525347429
166	0.8514604903
167	0.8506337184
168	0.8500813008
169	0.8496666068
170	0.8490120825
171	0.8481379998
172	0.8472620481
173	0.8464960939
174	0.8457032025
175	0.8449145864
176	0.8432527541
177	0.8416767382
