,Nombre,Temporada,Precio
0,Gonçalo Guedes,18/19,40.0
1,Maxi Gómez,19/20,40.0
2,Geoffrey Kondogbia,18/19,30.0
3,Enzo Pérez,14/15,23.0
4,Joaquín,06/07,22.0
5,Ezequiel Garay,16/17,20.0
6,André Gomes,15/16,20.0
7,Kévin Gameiro,18/19,20.0
8,Jasper Cillessen,19/20,18.0
9,Álvaro Negredo,15/16,18.0
10,Nani,16/17,16.0
11,Éver Banega,07/08,15.0
12,Simone Zaza,17/18,15.0
13,Jeison Murillo,18/19,15.0
14,Miguel,05/06,15.0
15,Daniel Wass,18/19,15.0
16,Alejandro Domínguez,09/10,14.0
17,Gabriel Paulista,17/18,13.0
18,Francis Coquelin,17/18,12.0
19,Nicolás Otamendi,14/15,12.0
20,David Villa,05/06,12.0
21,Asier del Horno,06/07,12.0
22,Adil Rami,11/12,12.0
23,Diego Alves,11/12,12.0
24,João Pereira,12/13,10.5
