,Nombre,Temporada,Precio
0,Gaizka Mendieta,01/02,48.0
1,Nicolás Otamendi,15/16,44.5
2,Shkodran Mustafi,16/17,41.0
3,João Cancelo,18/19,40.4
4,David Villa,10/11,40.0
5,André Gomes,16/17,37.0
6,Ferran Torres,20/21,33.5
7,Gonçalo Guedes,22/23,32.6
8,Rodrigo,20/21,30.0
9,Roberto Soldado,13/14,30.0
10,Paco Alcácer,16/17,30.0
11,David Silva,10/11,28.75
12,Juan Mata,11/12,26.7
13,Neto,19/20,26.0
14,Claudio López,00/01,23.0
15,Gerard López,00/01,21.6
16,Yunus Musah,23/24,20.0
17,Jérémy Mathieu,14/15,20.0
18,Carlos Soler,22/23,18.0
19,Javier Farinós,00/01,16.25
20,Geoffrey Kondogbia,20/21,16.0
21,Raúl Albiol,09/10,15.0
22,Jordi Alba,12/13,14.0
23,Jeison Murillo,19/20,13.3
24,Simone Zaza,19/20,12.0
